census_year,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_description,number_of_seats,longitude,latitude,location
2022,392-406 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),McDonald's Bourke St West,Ground 392-406 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,120,144.9617382,-37.81422024,"-37.81422024016241, 144.96173824055"
2022,11-15 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),McDonalds,11-15 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,130,144.9644993,-37.81782906,"-37.81782906345, 144.96449933262986"
2022,Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),McDonalds,92 Spencer Street MELBOURNE VIC 3000,Cafes and Restaurants,36,144.9543508,-37.81867521,"-37.81867521100554, 144.95435075675"
2022,305-331 City Road SOUTHBANK VIC 3006,Southbank,McDonalds,305-331 City Road SOUTHBANK VIC 3006,Cafes and Restaurants,44,144.9579148,-37.82823635,"-37.8282363476, 144.9579148110422"
2022,305-331 City Road SOUTHBANK VIC 3006,Southbank,McDonalds,305-331 City Road SOUTHBANK VIC 3006,Cafes and Restaurants,50,144.9579148,-37.82823635,"-37.8282363476, 144.9579148110422"
2022,501-503 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),McDonalds,501-503 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,136,144.9595541,-37.80735246,"-37.8073524639, 144.95955412399587"
2022,501-503 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),McDonalds,501-503 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,64,144.9595541,-37.80735246,"-37.8073524639, 144.95955412399587"
2022,407A St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),McDonald's,407A St Kilda Road MELBOURNE VIC 3004,Cafes and Restaurants,34,144.9761755,-37.83615131,"-37.83615131285, 144.97617552951652"
2022,Crown Casino Retail Precinct 27-45 Whiteman Street SOUTHBANK VIC 3006,Southbank,McDonalds,"Shop 101, Level 1 27 Whiteman Street SOUTHBANK VIC 3006",Cafes and Restaurants,75,144.9584422,-37.82540403,"-37.825404033, 144.95844223381087"
2022,407A St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),McDonald's,407A St Kilda Road MELBOURNE VIC 3004,Cafes and Restaurants,10,144.9761755,-37.83615131,"-37.83615131285, 144.97617552951652"
2022,Freshwater Place Residential 1-9 Freshwater Place SOUTHBANK VIC 3006,Southbank,McDonalds,"Shop 4R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,82,144.9621826,-37.82171509,"-37.8217150925, 144.96218258398218"
2022,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,Parkville,McDonalds,"Tenancy 3, Ground 50 Flemington Road PARKVILLE VIC 3052",Cafes and Restaurants,32,144.9495226,-37.79363105,"-37.793631051343525, 144.9495226105"
2022,168-174 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),McDonalds,Basement & Part Ground 168 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,40,144.9682477,-37.81251256,"-37.81251256039496, 144.96824771905"
2022,275-279 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),McDonalds,275-279 Swanston Street MELBOURNE VIC 3000,Cafes and Restaurants,94,144.964507,-37.81180753,"-37.81180752745, 144.9645069695023"
