census_year,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_description,number_of_seats,longitude,latitude,location
2022,120 Pearl River Road DOCKLANDS VIC 3008,Docklands,Yassas,"Shop 14A, Ground 120 Pearl River Road DOCKLANDS VIC 3008",Cafes and Restaurants,54,144.9365893,-37.81185946,"-37.811859459, 144.93658926722165"
2022,Flinders Wharf Apartments 40-66 Siddeley Street DOCKLANDS VIC 3008,Docklands,Them Authentic Vietnamese Cuisine & Rolls,"Part Unit 13, Ground 60 Siddeley Street DOCKLANDS VIC 3008",Cafes and Restaurants,34,144.9524789,-37.82288363,"-37.8228836279, 144.95247888392848"
2022,27-31 Racecourse Road NORTH MELBOURNE VIC 3051,North Melbourne,Melbourne Kebab Box,Adjacent Kiosk 27 Racecourse Road NORTH MELBOURNE VIC 3051,Takeaway Food Services,10,144.9409608,-37.78974281,"-37.78974280720024, 144.94096077615"
2022,288-294 Macaulay Road NORTH MELBOURNE VIC 3051,North Melbourne,The Third Day,288-294 Macaulay Road NORTH MELBOURNE VIC 3051,Non-Residential Property Operators,300,144.9366866,-37.79485885,"-37.79485884916251, 144.9366865935"
2022,11-41 Melrose Street NORTH MELBOURNE VIC 3051,North Melbourne,Mr Tucker,17 Melrose Street NORTH MELBOURNE VIC 3051,Takeaway Food Services,10,144.9414036,-37.79501732,"-37.79501732425005, 144.9414035963"
2022,11-41 Melrose Street NORTH MELBOURNE VIC 3051,North Melbourne,Mr Tucker,17 Melrose Street NORTH MELBOURNE VIC 3051,Takeaway Food Services,8,144.9414036,-37.79501732,"-37.79501732425005, 144.9414035963"
2022,524 Macaulay Road KENSINGTON VIC 3031,Kensington,Melba Social,524 Macaulay Road KENSINGTON VIC 3031,Cafes and Restaurants,80,144.9286332,-37.79404185,"-37.79404184602849, 144.9286331931"
2022,520 Macaulay Road KENSINGTON VIC 3031,Kensington,Kensington food hall,520 Macaulay Road KENSINGTON VIC 3031,Cafes and Restaurants,54,144.9287631,-37.79405445,"-37.79405444797382, 144.9287631262"
2022,506 Macaulay Road KENSINGTON VIC 3031,Kensington,New Bakehouse and Coffee,506 Macaulay Road KENSINGTON VIC 3031,Bakery Product Manufacturing (Non-factory based),6,144.9293136,-37.79409243,"-37.7940924332035, 144.9293135873"
2022,198-204 Bellair Street KENSINGTON VIC 3031,Kensington,The Premises Espresso,202 Bellair Street KENSINGTON VIC 3031,Cafes and Restaurants,50,144.9301791,-37.79426042,"-37.79426042218292, 144.93017913425"
